,Brand_name,Brand_detail_name,prices,RAM,Storage,Has_ssd,Core,Gen,Discount_Percentage,Operating_System,Warranty_Period,Space_Score
822,MSI,MSI Katana 15 B12UDXK-1006IN Gaming Laptop ,69990,8,512,1,i5,12,3.0,11,1,0
823,MSI,MSI Thin GF63 12UCX-269IN Gaming Laptop ,61990,16,1024,1,i5,12,4.0,11,1,0
824,MSI,MSI Katana 15 B12UDXK-1005IN Gaming Laptop ,67990,16,512,1,i5,12,8.0,11,1,0
825,HP,HP 15-fd0013TU Laptop ,62990,16,512,1,i5,13,,11,1,57
826,Acer,Acer Swift Go 14 SFG14-41 NX.KG3SI.003 Laptop ,58990,16,512,1,,,,11,1,0
827,MSI,MSI GF63 Thin 11UC-1294IN Gaming Laptop ,66780,16,1024,1,i7,11,2.0,11,1,0
828,Asus,Asus Vivobook S15 OLED 2023 S5504VA-MA741WS Laptop ,102990,16,512,1,i7,13,1.0,11,1,0
829,HP,HP 15s-eq1580AU Laptop ,30990,8,512,1,,,7.0,11,1,58
830,MSI,MSI Thin GF63 12VE-267IN Gaming Laptop ,69990,16,1024,1,i5,12,10.0,11,1,0
831,HP,HP 15-fd0021TU Laptop ,57990,8,512,1,i5,13,2.0,11,1,57
832,Asus,Asus Vivobook 16X 2023 K3605VC-MB951WS Laptop ,114873,16,1024,1,i9,13,1.0,11,1,0
833,Dell,Dell G15-5525 D560896WIN9S Gaming Laptop ,113499,16,1024,1,,,3.0,11,1,0
834,Asus,Asus Vivobook 14X 2023 K3405VF-LY541WS Laptop ,72990,16,512,1,i5,13,7.0,11,1,0
835,MSI,MSI Stealth 16 Studio A13VG-030IN Gaming Laptop ,234990,32,1024,1,i7,13,,11,1,0
836,Acer,Acer Predator Helios Neo 16 PHN16-71 2023 Gaming Laptop ,144990,16,1024,1,i7,13,4.0,11,1,0
837,Asus,Asus Vivobook 14X OLED 2023 K3405VCB-KM542WS Laptop ,92177,16,512,1,i5,13,3.0,11,1,0
838,Asus,Asus Vivobook Pro 15 OLED K6502VU-MA951WS Laptop ,154937,16,1024,1,i9,13,,11,1,0
839,Asus,Asus Vivobook 16X 2023 K3605VC-MB542WS Laptop ,75990,16,512,1,i5,13,5.0,11,1,0
840,MSI,MSI GF63 Thin 11SC-1298IN Gaming Laptop ,57990,16,1024,1,i7,11,5.0,11,1,0
841,Asus,Asus Zenbook Pro 14 Duo OLED 2023 UX8402VU-MZ551WS Laptop ,208219,16,1024,1,i5,13,4.0,11,1,0
842,HP,HP 15-fd0024TU Laptop ,79800,16,512,1,i7,13,4.0,11,1,0
843,HP,HP ProBook 440 G9 6J8T1PA Laptop ,117999,16,512,1,i7,12,1.0,11,1,0
844,Asus,Asus TUF Gaming F17 FX706HF-HX018W Laptop ,55689,8,512,1,i5,11,,11,1,0
845,Dell,Dell Alienware X16 R1 Gaming Laptop ,388490,32,1024,1,i9,13,2.0,11,1,0
846,Asus,Asus VivoBook 15 X515EA-EJ342WS Laptop ,33990,16,512,1,i3,11,6.0,11,1,56
847,HP,HP 15s-fy5002TU Laptop ,51490,8,512,1,i5,12,4.0,11,1,57
848,Dell,Dell Alienware M18 R1 Gaming Laptop ,364990,32,1024,1,i9,13,1.0,11,1,0
849,Lenovo,Lenovo IdeaPad Gaming 3 15ACH6 82K2022XIN Laptop ,64990,8,512,1,,,2.0,11,1,0
850,Acer,Acer One 14 Z8-415 Laptop ,34990,8,512,1,i5,11,5.0,11,1,58
851,HP,HP 15s-fy5003TU Laptop ,37990,8,512,1,i3,12,4.0,11,1,54
852,Acer,Acer One 11 Z8-284 UN.013SI.014 Laptop ,36800,8,256,1,,,2.0,11,1,47
853,Acer,Acer Predator Helios Neo 16 PHN16-71 Laptop ,109990,16,512,1,i7,13,4.0,11,1,0
854,Acer,Acer Predator Helios Neo 16 NH.QLTSI.002 Laptop ,114990,16,512,1,i7,13,2.0,11,1,0
855,HP,HP 15-fc0030AU Laptop ,46490,16,512,1,,,2.0,11,1,54
856,HP,HP Victus 15-fb0122AX Gaming Laptop ,47999,8,512,1,,,5.0,11,1,0
857,HP,HP 15-eg3036TU Laptop ,89490,16,1024,1,i7,13,1.0,11,1,0
858,HP,HP 15-fd0006TU Laptop ,44990,8,512,1,i3,13,5.0,11,1,51
859,HP,HP 15-fd0011TU Laptop ,56999,8,512,1,i5,13,5.0,11,1,54
860,HP,HP 15-fd0018TU Laptop ,44790,8,512,1,i3,13,5.0,11,1,51
861,HP,HP ProBook 440 G8 5D6U3PA Notebook PC ,73500,8,512,1,i5,11,2.0,11,1,0
862,Asus,Asus Vivobook Pro 16 OLED 2023 K6602VU-LZ952WS Laptop ,149990,16,1024,1,i9,13,1.0,11,1,0
863,HP,HP 15-fd0012TU Laptop ,63290,8,1024,1,i5,13,4.0,11,1,56
864,Acer,Acer Predator Helios Neo 16 PHN16-71 Gaming Laptop ,114990,16,1024,1,i7,13,2.0,11,1,0
865,Realme,Realme Book Prime CloudPro002 Laptop ,47999,8,512,1,i5,11,1.0,11,1,0
866,MSI,MSI Thin GF63 12VF-268IN Laptop ,74990,16,1024,1,i5,12,15.0,11,1,0
867,Dell,Dell Vostro 15 3510 2023 Laptop ,47990,8,512,1,i5,11,,11,1,0
868,HP,HP 250 G8 7M6L7PA Laptop ,34980,8,1024,1,i3,11,2.0,11,1,58
869,Asus,Asus Vivobook Go 15 OLED 2023 E1504FA-LK545WS Laptop ,56622,16,512,1,,,6.0,11,1,0
870,Dell,Dell Vostro 3420 Laptop ,49990,16,512,1,i5,11,1.0,11,1,0
871,Asus,Asus Vivobook Pro 16 OLED 2023 K6602VU-LZ542WS Laptop ,110000,16,512,1,i5,13,6.0,11,1,0
872,MSI,MSI Stealth 14 Studio A13VE-038IN Gaming Laptop ,174990,16,1024,1,i7,13,,11,1,0
873,Asus,Asus VivoBook 14 X1400EA-EK322WS Notebook ,29990,8,512,1,i3,11,8.0,11,1,59
874,MSI,MSI Cyborg 15 A12UCX-264IN Gaming Laptop ,59990,16,512,1,i5,12,6.0,11,1,0
875,Acer,Acer Aspire 5 A515-56G Laptop ,42990,8,512,1,i5,11,5.0,11,1,0
876,Asus,Asus Vivobook 15 2023 X1504VA-NJ321WS Laptop ,42990,8,512,1,i3,13,1.0,11,1,56
877,Dell,Dell Vostro 3425 Laptop ,38619,8,512,1,,,,11,1,59
878,MSI,MSI Summit E13 Flip Evo A11MT-213IN Laptop ,79990,16,512,1,i7,11,8.0,11,1,0
879,Asus,Asus Vivobook 16 2023 X1605VAB-MB544WS Laptop ,60990,16,512,1,i5,13,1.0,11,1,59
880,HP,HP 15-fc0026AU Laptop ,33490,8,512,1,,,6.0,11,1,54
881,Lenovo,Lenovo Thinkpad P15 20YRS3A300 Laptop ,188999,32,512,1,i7,11,,11,1,0
882,MSI,MSI Summit E13 Flip Evo A11MT-214IN Laptop ,64990,16,512,1,i5,11,6.0,11,1,0
883,HP,HP Pavilion 15-eg2017TU Laptop ,49590,8,512,1,i3,12,,11,1,0
884,Asus,Asus Zenbook 14 Flip OLED 2023 UP3404VA-KN742WS Laptop ,124990,16,512,1,i7,13,5.0,11,1,0
885,Asus,Asus Vivobook 14X OLED 2023 K3405VFB-KM541WS Laptop ,78990,16,512,1,i5,13,6.0,11,1,0
886,Asus,Asus Zenbook 14 OLED 2023 UX3402VA-KN741WS Laptop ,98990,16,512,1,i7,13,13.0,11,1,0
887,HP,HP Victus 15-fa1066TX Gaming Laptop ,99990,16,512,1,i7,13,9.0,11,1,0
888,Asus,Asus Zenbook 14 OLED 2023 UX3402VA-KN541WS Laptop ,92250,16,512,1,i5,13,3.0,11,1,0
889,HP,HP Victus 16-d0333TX Gaming Laptop ,64500,16,512,1,i5,11,2.0,11,1,0
890,Asus,Asus Vivobook Flip 14 2023 TP3402VAB-LZ542WS Laptop ,71928,16,512,1,i5,13,5.0,11,1,0
891,HP,HP 15s-fq2738TU Laptop ,36490,8,512,1,i3,11,1.0,11,1,56
892,HP,HP Victus 15-fb0121AX Gaming Laptop ,51990,8,512,1,,,3.0,11,1,0
893,HP,HP Omen 16-n0123AX Gaming Laptop ,116990,16,1024,1,,,1.0,11,1,0
894,Asus,Asus Vivobook 15 X1502ZA-EJ953WS Laptop ,36990,8,512,1,i3,12,4.0,11,1,52
895,MSI,MSI Thin GF63 12UCX-265IN Gaming Laptop ,59990,16,512,1,i5,12,4.0,11,1,0
896,Acer,Acer Nitro 5 AN515-47 Gaming Laptop ,69990,16,512,1,,,10.0,11,1,0
897,Asus,Asus Vivobook Go 14 E1404GA-NK322WS Laptop ,34990,8,512,1,,,6.0,11,1,48
898,Acer,Acer Nitro 5 AN515-47 2023 Gaming Laptop ,68990,16,512,1,,,,11,1,0
899,MSI,MSI Stealth 16 Studio A13VF-023IN Gaming Laptop ,209990,32,1024,1,i7,13,4.0,11,1,0
900,Asus,Asus Vivobook 15 2023 X1504VA-NJ523WS Laptop ,49990,8,512,1,i5,13,10.0,11,1,59
901,Acer,Acer Predator Helios 16 PH16-71 Laptop ,184999,32,1024,1,i7,13,5.0,11,1,0
902,MSI,MSI GF63 Thin 11UC-1295IN Gaming Laptop ,58990,16,1024,1,i5,11,4.0,11,1,0
